Ticks,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135
1648640100000,49,101,57,26,59,23,72,51,468
1648640100010,45,95,61,27,60,34,75,57,474
1648640100020,49,93,61,21,63,40,87,54,478
1648640100030,54,104,59,26,63,34,86,49,479
1648640100040,45,107,62,27,49,21,80,50,475
1648640100050,45,106,65,20,51,27,81,45,482
1648640100060,54,92,72,36,60,36,93,50,471
1648640100070,50,96,64,28,60,25,74,48,477
1648640100080,43,101,64,18,60,31,86,51,479
1648640100090,49,107,63,29,78,33,78,46,482
1648640100100,43,95,54,19,60,24,78,52,483
1648640100110,43,97,63,30,63,29,91,57,471
1648640100120,47,89,63,32,62,13,88,49,469
1648640100130,35,89,74,20,60,24,88,52,486
1648640100140,37,105,62,31,55,28,93,53,480
1648640100150,43,110,64,27,61,23,80,48,473
1648640100160,40,98,63,30,52,37,87,51,488
1648640100170,48,107,58,36,55,22,77,50,479
1648640100180,41,102,68,23,54,27,83,50,486
1648640100190,38,93,66,20,57,30,79,46,479
1648640100200,54,102,67,19,70,36,81,50,491
1648640100210,45,111,59,20,46,22,86,52,489
1648640100220,46,98,69,24,61,35,72,57,477
1648640100230,38,112,57,27,48,29,101,54,484
1648640100240,43,77,66,26,54,24,70,60,482
1648640100250,46,105,73,30,63,31,68,46,487
1648640100260,40,99,58,25,57,30,92,54,472
1648640100270,48,96,60,34,51,26,88,51,483
1648640100280,43,99,63,23,53,29,86,60,485
1648640100290,44,82,61,41,60,27,86,46,467
1648640100300,43,97,56,29,53,30,80,45,471
1648640100310,56,102,63,20,58,32,71,47,465
1648640100320,46,111,58,18,57,37,81,39,477
1648640100330,40,94,65,28,53,23,73,47,483
1648640100340,50,92,59,23,69,40,90,46,488
1648640100350,39,94,70,29,60,19,79,50,479
1648640100360,47,106,59,28,45,28,72,51,489
1648640100370,35,101,62,24,58,32,77,59,469
1648640100380,39,94,67,20,53,31,84,54,467
1648640100390,47,103,57,16,61,26,75,47,478
1648640100400,50,99,64,22,52,28,72,45,481
1648640100410,47,107,69,30,56,27,83,52,478
1648640100420,45,93,56,26,59,26,83,43,465
1648640100430,44,96,64,17,62,33,75,59,478
1648640100440,38,95,64,26,50,31,76,55,470
1648640100450,42,86,67,27,55,26,82,47,482
1648640100460,43,101,57,19,54,34,66,41,481
1648640100470,52,101,57,26,53,31,66,56,472
1648640100480,48,99,65,25,67,33,73,49,475
1648640100490,36,97,64,18,59,32,78,56,472
1648640200000,45,96,58,6,64,26,87,46,472
1648640200010,57,98,67,29,51,33,64,47,472
1648640200020,47,102,59,19,53,28,67,49,479
1648640200030,53,105,70,16,58,22,82,44,469
1648640200040,45,98,69,29,54,33,87,50,479
1648640200050,45,89,70,14,57,31,87,53,476
1648640200060,50,107,70,29,55,20,82,52,479
1648640200070,50,123,67,30,55,30,72,52,483
1648640200080,45,105,58,28,54,32,73,45,485
1648640200090,33,103,65,26,61,29,83,42,481
1648640200100,45,96,67,24,56,27,87,51,473
1648640200110,50,97,65,22,49,35,72,46,482
1648640200120,46,87,62,18,56,26,74,52,488
1648640200130,48,104,64,39,53,38,74,57,480
1648640200140,47,98,65,22,65,25,81,51,466
1648640200150,38,109,58,19,59,34,71,49,470
1648640200160,51,90,66,24,64,38,80,46,480
1648640200170,43,110,66,28,57,23,82,45,476
1648640200180,43,96,62,31,62,32,85,56,493
1648640200190,49,94,66,23,61,25,85,38,475
1648640200200,42,95,68,24,60,33,68,49,477
1648640200210,47,94,58,20,47,36,81,56,482
1648640200220,41,81,70,23,58,38,85,45,463
1648640200230,45,104,68,30,64,34,73,49,484
1648640200240,44,105,68,24,57,27,76,48,477
1648640200250,43,109,68,23,63,33,94,52,469
1648640200260,41,105,66,26,54,42,61,57,476
1648640200270,46,104,63,20,55,35,101,48,486
1648640200280,46,85,60,12,61,40,92,45,480
1648640200290,51,100,65,22,49,35,77,46,461
1648640200300,43,89,64,7,66,23,96,59,481
1648640200310,46,96,60,23,55,28,71,59,476
1648640200320,58,110,71,27,64,33,85,52,480
1648640200330,48,99,67,31,53,24,67,53,470
1648640200340,48,77,62,28,61,33,96,47,485
1648640200350,48,90,56,25,54,19,74,55,484
1648640200360,37,94,59,19,48,29,89,48,479
1648640200370,45,97,65,18,54,32,82,45,478
1648640200380,34,106,62,23,56,20,77,51,485
1648640200390,50,106,57,20,59,32,75,48,481
1648640200400,55,105,64,19,52,34,105,51,477
1648640200410,43,101,62,25,60,34,74,49,477
1648640200420,55,96,61,20,55,21,86,51,481
1648640200430,40,96,57,14,46,22,87,50,490
1648640200440,39,102,65,23,62,35,92,59,475
1648640200450,49,106,58,19,63,35,91,53,476
1648640200460,41,112,62,28,55,24,69,48,483
1648640200470,43,99,68,33,56,23,80,52,475
1648640200480,52,101,69,29,54,34,87,47,472
1648640200490,41,111,62,27,59,19,83,50,472
