Ticks,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135
1648640500000,62,109,85,114,69,37,152,63,748
1648640500010,60,104,89,115,70,45,155,67,758
1648640500020,63,102,89,109,72,49,170,65,765
1648640500030,66,110,88,114,72,45,169,61,765
1648640500040,59,113,90,114,63,36,162,62,760
1648640500050,59,112,92,109,65,40,163,58,771
1648640500060,66,101,96,123,70,46,176,62,754
1648640500070,63,105,91,115,70,39,155,61,763
1648640500080,59,109,91,106,70,43,168,63,766
1648640500090,62,113,90,116,81,44,159,59,770
1648640500100,59,104,84,108,70,38,159,64,772
1648640500110,59,106,90,117,72,41,174,67,753
1648640500120,61,100,90,119,71,30,171,61,749
1648640500130,53,99,98,108,70,38,171,63,778
1648640500140,54,112,90,118,67,40,176,64,768
1648640500150,58,115,91,115,71,37,162,60,757
1648640500160,56,106,90,117,66,47,169,63,781
1648640500170,62,113,86,123,67,36,158,62,766
1648640500180,57,109,94,111,66,40,165,62,777
1648640500190,55,103,93,109,68,42,160,59,765
1648640500200,66,109,93,108,76,46,163,62,786
1648640500210,60,116,87,108,62,36,168,64,783
1648640500220,61,106,95,112,70,45,153,67,762
1648640500230,55,116,86,114,63,41,185,65,775
1648640500240,58,90,92,114,67,38,150,70,771
1648640500250,61,112,97,117,72,43,148,59,779
1648640500260,56,107,87,113,68,42,175,65,755
1648640500270,62,105,88,120,64,39,171,62,772
1648640500280,58,107,91,111,66,42,169,70,776
1648640500290,59,94,89,127,70,40,169,59,747
1648640500300,58,105,85,116,66,42,162,59,752
1648640500310,67,109,90,108,69,44,152,60,744
1648640500320,60,116,87,107,68,47,163,54,762
1648640500330,56,103,92,115,66,37,154,60,772
1648640500340,64,102,87,111,75,49,173,59,780
1648640500350,56,104,95,116,70,35,160,62,765
1648640500360,61,112,88,115,61,41,152,63,782
1648640500370,53,109,89,112,69,43,158,69,750
1648640500380,55,103,93,108,66,42,166,65,747
1648640500390,61,110,86,105,71,39,155,60,764
1648640500400,63,107,91,110,65,41,152,58,769
1648640500410,61,113,95,117,68,40,164,64,764
1648640500420,60,102,85,114,70,39,164,57,743
1648640500430,59,105,91,106,71,44,156,69,764
1648640500440,55,104,91,114,64,43,156,66,751
1648640500450,58,98,93,115,67,39,164,60,772
1648640500460,59,109,86,108,67,44,145,55,768
1648640500470,64,108,86,113,66,42,146,67,755
1648640500480,62,107,92,113,74,44,154,61,759
1648640500490,54,105,91,107,70,43,159,66,754
1648640600000,60,105,87,96,73,39,170,59,754
1648640600010,68,106,93,117,65,44,144,60,754
1648640600020,61,109,88,108,66,41,146,62,766
1648640600030,65,111,95,105,69,37,163,58,750
1648640600040,60,106,95,117,67,44,170,62,766
1648640600050,60,99,96,103,69,43,170,64,761
1648640600060,63,113,95,116,67,35,164,64,765
1648640600070,64,125,93,117,67,42,152,64,772
1648640600080,60,112,87,115,67,43,153,59,775
1648640600090,51,110,92,114,71,41,165,56,769
1648640600100,60,104,93,112,67,40,170,63,756
1648640600110,63,105,92,110,64,46,152,59,771
1648640600120,60,98,90,107,68,39,154,63,780
1648640600130,62,111,91,125,66,47,155,68,768
1648640600140,61,106,91,110,73,39,162,63,745
1648640600150,55,115,87,108,69,45,151,61,752
1648640600160,64,100,92,112,72,48,162,59,768
1648640600170,58,115,92,116,69,37,164,58,762
1648640600180,58,105,90,118,71,43,168,67,788
1648640600190,63,103,92,111,71,39,167,53,760
1648640600200,58,104,94,112,70,44,148,61,762
1648640600210,61,103,87,108,62,46,162,66,770
1648640600220,57,94,95,111,69,47,167,58,740
1648640600230,60,111,94,117,73,45,154,62,774
1648640600240,59,112,94,112,68,40,157,61,762
1648640600250,59,115,93,111,72,44,177,64,750
1648640600260,57,111,93,114,66,50,140,67,760
1648640600270,60,111,90,109,67,46,186,60,777
1648640600280,61,96,88,101,70,49,176,58,768
1648640600290,64,108,92,110,63,45,158,59,736
1648640600300,58,100,91,97,74,37,180,69,769
1648640600310,61,105,88,111,67,40,151,69,761
1648640600320,69,115,96,115,73,44,168,63,767
1648640600330,62,107,93,118,66,38,146,64,751
1648640600340,62,90,89,115,71,44,180,59,775
1648640600350,62,100,85,113,67,35,155,66,775
1648640600360,54,103,87,107,63,41,172,61,766
1648640600370,59,105,92,107,67,43,164,59,765
1648640600380,52,113,89,112,68,35,158,63,776
1648640600390,64,112,86,108,70,43,156,61,770
1648640600400,67,112,91,108,65,45,190,63,762
1648640600410,58,108,90,113,70,45,154,62,763
1648640600420,67,105,89,108,67,36,168,63,770
1648640600430,56,104,86,103,61,36,170,62,784
1648640600440,56,109,91,112,71,45,175,69,760
1648640600450,62,112,87,108,72,45,174,65,760
1648640600460,57,116,89,115,67,38,150,61,773
1648640600470,58,107,94,120,67,37,162,64,759
1648640600480,65,109,94,117,66,45,170,60,755
1648640600490,57,116,90,115,69,35,165,62,754
